N;Periodi;Inflazione annua;Inflazione mensile;Inflazione Media (Valore parziale);Indice Dal;Indice Al;
130;Ottobre-2009  Ottobre-2010;1,7%;0,2%;2,2%;138;140,4;
131;Novembre-2009  Novembre-2010;1,7%;0,0%;2,2%;138;140,4;
132;Dicembre-2009  Dicembre-2010;1,9%;0,4%;2,2%;138,3;140,9;
133;Gennaio-2010  Gennaio-2011;2,1%;0,4%;2,2%;138,5;101,2;
134;Febbraio-2010  Febbraio-2011;2,4%;0,3%;2,2%;138,6;101,5;
135;Marzo-2010  Marzo-2011;2,5%;0,4%;2,2%;139;101,9;
136;Aprile-2010  Aprile-2011;2,6%;0,5%;2,2%;139,5;102,4;
137;Maggio-2010  Maggio-2011;2,6%;0,1%;2,2%;139,6;102,5;
138;Giugno-2010  Giugno-2011;2,7%;0,1%;2,2%;139,6;102,6;
139;Luglio-2010  Luglio-2011;2,7%;0,3%;2,2%;140,1;102,9;
140;Agosto-2010  Agosto-2011;2,8%;0,3%;2,2%;140,4;103,2;
141;Settembre-2010  Settembre-2011;3,0%;0,0%;2,2%;140,1;103,2;
142;Ottobre-2010  Ottobre-2011;3,4%;0,6%;2,2%;140,4;103,8;
143;Novembre-2010  Novembre-2011;3,3%;-0,1%;2,2%;140,4;103,7;
144;Dicembre-2010  Dicembre-2011;3,3%;0,4%;2,2%;140,9;104,1;
145;Gennaio-2011  Gennaio-2012;3,2%;0,3%;2,2%;101,2;104,4;
146;Febbraio-2011  Febbraio-2012;3,3%;0,4%;2,2%;101,5;104,8;
147;Marzo-2011  Marzo-2012;3,3%;0,5%;2,2%;101,9;105,3;
148;Aprile-2011  Aprile-2012;3,3%;0,5%;2,3%;102,4;105,8;
149;Maggio-2011  Maggio-2012;3,2%;0,0%;2,3%;102,5;105,8;
150;Giugno-2011  Giugno-2012;3,3%;0,2%;2,3%;102,6;106;
151;Luglio-2011  Luglio-2012;3,1%;0,1%;2,3%;102,9;106,1;
152;Agosto-2011  Agosto-2012;3,2%;0,4%;2,3%;103,2;106,5;
153;Settembre-2011  Settembre-2012;3,2%;0,0%;2,3%;103,2;106,5;
154;Ottobre-2011  Ottobre-2012;2,6%;0,0%;2,3%;103,8;106,5;
155;Novembre-2011  Novembre-2012;2,5%;-0,2%;2,3%;103,7;106,3;
156;Dicembre-2011  Dicembre-2012;2,3%;0,2%;2,3%;104,1;106,5;
157;Gennaio-2012  Gennaio-2013;2,2%;0,2%;2,3%;104,4;106,7;
158;Febbraio-2012  Febbraio-2013;1,9%;0,1%;2,3%;104,8;106,8;
159;Marzo-2012  Marzo-2013;1,6%;0,2%;2,3%;105,3;107;
160;Aprile-2012  Aprile-2013;1,1%;0,0%;2,3%;105,8;107;
161;Maggio-2012  Maggio-2013;1,1%;0,0%;2,3%;105,8;107;
162;Giugno-2012  Giugno-2013;1,2%;0,3%;2,3%;106;107,3;
163;Luglio-2012  Luglio-2013;1,2%;0,1%;2,3%;106,1;107,4;
164;Agosto-2012  Agosto-2013;1,2%;0,4%;2,2%;106,5;107,8;
